"","participant","block","stimulus","age_group","observation","Stimulus.RT","mean_rt","sd_rt"
"1",10002,2,"Number_9_Font_72","young",102,789,453.476780185759,124.292090899271
"2",10002,2,"Number_4_Font_72","young",132,777,453.476780185759,124.292090899271
"3",10002,2,"Number_9_Font_72","young",143,1200,453.476780185759,124.292090899271
"4",10002,2,"Number_2_Font_72","young",170,718,453.476780185759,124.292090899271
"5",10002,2,"Number_0_Font_72","young",172,774,453.476780185759,124.292090899271
"6",10002,2,"Number_2_Font_72","young",174,709,453.476780185759,124.292090899271
"7",10002,3,"Number_7_Font_72","young",222,778,445.771604938272,132.857872196874
"8",10002,4,"Number_9_Font_72","young",296,759,451.055209953344,143.933650624772
"9",10002,4,"Number_4_Font_72","young",318,741,451.055209953344,143.933650624772
"10",10002,5,"Number_8_Font_72","young",435,932,439.221792890263,140.037165946884
"11",10002,5,"Number_9_Font_72","young",448,749,439.221792890263,140.037165946884
"12",10002,6,"Number_1_Font_72","young",521,914,427.721450617284,125.980970689264
"13",10003,1,"Number_5_Font_72","young",79,720,456.925754060325,130.025940709028
"14",10003,1,"Number_2_Font_72","young",88,766,456.925754060325,130.025940709028
"15",10003,3,"Number_4_Font_72","young",192,943,445.771604938272,132.857872196874
"16",10003,6,"Number_1_Font_72","young",495,703,427.721450617284,125.980970689264
"17",10003,8,"Number_4_Font_72","young",684,742,442.892664092664,133.75364352549
"18",10009,1,"Number_4_Font_72","young",43,814,456.925754060325,130.025940709028
"19",10009,1,"Number_8_Font_72","young",46,810,456.925754060325,130.025940709028
"20",10009,1,"Number_1_Font_72","young",81,738,456.925754060325,130.025940709028
"21",10009,2,"Number_4_Font_72","young",93,749,453.476780185759,124.292090899271
"22",10009,2,"Number_5_Font_72","young",116,763,453.476780185759,124.292090899271
"23",10009,2,"Number_1_Font_72","young",166,776,453.476780185759,124.292090899271
"24",10009,2,"Number_1_Font_72","young",169,704,453.476780185759,124.292090899271
"25",10009,3,"Number_1_Font_72","young",255,727,445.771604938272,132.857872196874
"26",10009,5,"Number_5_Font_72","young",376,835,439.221792890263,140.037165946884
"27",10009,5,"Number_5_Font_72","young",430,725,439.221792890263,140.037165946884
"28",10009,6,"Number_1_Font_72","young",492,762,427.721450617284,125.980970689264
"29",10009,6,"Number_8_Font_72","young",503,712,427.721450617284,125.980970689264
"30",10009,6,"Number_9_Font_72","young",522,701,427.721450617284,125.980970689264
"31",10009,6,"Number_0_Font_72","young",536,687,427.721450617284,125.980970689264
"32",10009,7,"Number_1_Font_72","young",582,763,440.899536321484,143.818575397368
"33",10009,7,"Number_5_Font_72","young",598,781,440.899536321484,143.818575397368
"34",10009,7,"Number_2_Font_72","young",601,1132,440.899536321484,143.818575397368
"35",10009,7,"Number_0_Font_72","young",608,736,440.899536321484,143.818575397368
"36",10009,7,"Number_0_Font_72","young",613,1031,440.899536321484,143.818575397368
"37",10009,7,"Number_2_Font_72","young",615,729,440.899536321484,143.818575397368
"38",10009,7,"Number_0_Font_72","young",617,1252,440.899536321484,143.818575397368
"39",10009,7,"Number_2_Font_72","young",623,993,440.899536321484,143.818575397368
"40",10009,8,"Number_9_Font_72","young",674,1087,442.892664092664,133.75364352549
"41",10010,1,"Number_9_Font_72","young",2,725,456.925754060325,130.025940709028
"42",10010,2,"Number_9_Font_72","young",102,717,453.476780185759,124.292090899271
"43",10010,2,"Number_9_Font_72","young",143,723,453.476780185759,124.292090899271
"44",10010,3,"Number_9_Font_72","young",193,719,445.771604938272,132.857872196874
"45",10010,4,"Number_1_Font_72","young",347,805,451.055209953344,143.933650624772
"46",10010,6,"Number_8_Font_72","young",483,809,427.721450617284,125.980970689264
"47",10010,8,"Number_9_Font_72","young",663,719,442.892664092664,133.75364352549
"48",10503,1,"Number_1_Font_72","young",5,898,456.925754060325,130.025940709028
"49",10503,1,"Number_0_Font_72","young",9,732,456.925754060325,130.025940709028
"50",10503,1,"Number_0_Font_72","young",45,954,456.925754060325,130.025940709028
"51",10503,1,"Number_9_Font_72","young",50,739,456.925754060325,130.025940709028
"52",10503,1,"Number_5_Font_72","young",60,1056,456.925754060325,130.025940709028
"53",10503,1,"Number_5_Font_72","young",77,728,456.925754060325,130.025940709028
"54",10503,2,"Number_5_Font_72","young",92,726,453.476780185759,124.292090899271
"55",10503,2,"Number_0_Font_72","young",122,709,453.476780185759,124.292090899271
"56",10503,2,"Number_9_Font_72","young",130,734,453.476780185759,124.292090899271
"57",10503,2,"Number_8_Font_72","young",134,1253,453.476780185759,124.292090899271
"58",10503,2,"Number_8_Font_72","young",152,916,453.476780185759,124.292090899271
"59",10503,2,"Number_7_Font_72","young",163,718,453.476780185759,124.292090899271
"60",10503,3,"Number_2_Font_72","young",182,921,445.771604938272,132.857872196874
"61",10503,3,"Number_1_Font_72","young",187,834,445.771604938272,132.857872196874
"62",10503,3,"Number_0_Font_72","young",190,732,445.771604938272,132.857872196874
"63",10503,3,"Number_8_Font_72","young",209,895,445.771604938272,132.857872196874
"64",10503,3,"Number_2_Font_72","young",263,901,445.771604938272,132.857872196874
"65",10503,4,"Number_7_Font_72","young",309,808,451.055209953344,143.933650624772
"66",10503,4,"Number_1_Font_72","young",322,845,451.055209953344,143.933650624772
"67",10503,5,"Number_4_Font_72","young",370,805,439.221792890263,140.037165946884
"68",10503,5,"Number_8_Font_72","young",403,950,439.221792890263,140.037165946884
"69",10503,5,"Number_0_Font_72","young",411,760,439.221792890263,140.037165946884
"70",10503,5,"Number_5_Font_72","young",430,759,439.221792890263,140.037165946884
"71",10503,5,"Number_5_Font_72","young",434,732,439.221792890263,140.037165946884
"72",10503,5,"Number_8_Font_72","young",435,847,439.221792890263,140.037165946884
"73",10503,5,"Number_4_Font_72","young",450,992,439.221792890263,140.037165946884
"74",10503,6,"Number_5_Font_72","young",490,844,427.721450617284,125.980970689264
"75",10503,6,"Number_8_Font_72","young",500,699,427.721450617284,125.980970689264
"76",10503,6,"Number_8_Font_72","young",503,704,427.721450617284,125.980970689264
"77",10503,7,"Number_8_Font_72","young",575,788,440.899536321484,143.818575397368
"78",10503,7,"Number_9_Font_72","young",602,764,440.899536321484,143.818575397368
"79",10503,7,"Number_8_Font_72","young",606,792,440.899536321484,143.818575397368
"80",10503,7,"Number_9_Font_72","young",630,788,440.899536321484,143.818575397368
"81",10503,8,"Number_5_Font_72","young",632,742,442.892664092664,133.75364352549
"82",10503,8,"Number_5_Font_72","young",635,811,442.892664092664,133.75364352549
"83",10503,8,"Number_4_Font_72","young",695,792,442.892664092664,133.75364352549
"84",10503,8,"Number_1_Font_72","young",714,776,442.892664092664,133.75364352549
"85",10005,6,"Number_4_Font_72","young",468,820,427.721450617284,125.980970689264
"86",10005,7,"Number_9_Font_72","young",630,741,440.899536321484,143.818575397368
"87",10001,1,"Number_0_Font_72","young",45,848,456.925754060325,130.025940709028
"88",10001,3,"Number_7_Font_72","young",203,737,445.771604938272,132.857872196874
"89",10001,4,"Number_9_Font_72","young",306,835,451.055209953344,143.933650624772
"90",10001,4,"Number_8_Font_72","young",315,829,451.055209953344,143.933650624772
"91",10001,5,"Number_9_Font_72","young",389,779,439.221792890263,140.037165946884
"92",10001,5,"Number_2_Font_72","young",391,990,439.221792890263,140.037165946884
"93",10001,5,"Number_0_Font_72","young",451,751,439.221792890263,140.037165946884
"94",10001,6,"Number_8_Font_72","young",489,725,427.721450617284,125.980970689264
"95",10001,6,"Number_7_Font_72","young",505,822,427.721450617284,125.980970689264
"96",10001,6,"Number_8_Font_72","young",509,832,427.721450617284,125.980970689264
"97",10001,6,"Number_5_Font_72","young",539,781,427.721450617284,125.980970689264
"98",10001,7,"Number_9_Font_72","young",555,814,440.899536321484,143.818575397368
"99",10001,7,"Number_9_Font_72","young",589,734,440.899536321484,143.818575397368
"100",10001,8,"Number_4_Font_72","young",655,754,442.892664092664,133.75364352549
"101",10001,8,"Number_8_Font_72","young",708,720,442.892664092664,133.75364352549
"102",10001,8,"Number_9_Font_72","young",712,755,442.892664092664,133.75364352549
"103",10008,1,"Number_9_Font_72","young",2,750,456.925754060325,130.025940709028
"104",10008,1,"Number_4_Font_72","young",30,748,456.925754060325,130.025940709028
"105",10008,2,"Number_9_Font_72","young",130,771,453.476780185759,124.292090899271
"106",10008,2,"Number_1_Font_72","young",142,988,453.476780185759,124.292090899271
"107",10008,5,"Number_7_Font_72","young",396,796,439.221792890263,140.037165946884
"108",10008,5,"Number_4_Font_72","young",422,891,439.221792890263,140.037165946884
"109",10008,5,"Number_0_Font_72","young",451,1301,439.221792890263,140.037165946884
"110",10008,6,"Number_9_Font_72","young",466,707,427.721450617284,125.980970689264
"111",10008,7,"Number_7_Font_72","young",546,739,440.899536321484,143.818575397368
"112",10008,7,"Number_4_Font_72","young",549,908,440.899536321484,143.818575397368
"113",10008,8,"Number_0_Font_72","young",660,741,442.892664092664,133.75364352549
"114",10008,8,"Number_4_Font_72","young",685,844,442.892664092664,133.75364352549
"115",10505,1,"Number_9_Font_72","young",12,812,456.925754060325,130.025940709028
"116",10505,1,"Number_8_Font_72","young",69,787,456.925754060325,130.025940709028
"117",10505,2,"Number_5_Font_72","young",92,758,453.476780185759,124.292090899271
"118",10505,3,"Number_8_Font_72","young",205,828,445.771604938272,132.857872196874
"119",10507,5,"Number_0_Font_72","young",407,788,439.221792890263,140.037165946884
"120",10507,5,"Number_7_Font_72","young",423,1090,439.221792890263,140.037165946884
"121",10510,1,"Number_0_Font_72","young",9,868,456.925754060325,130.025940709028
"122",10510,3,"Number_9_Font_72","young",251,715,445.771604938272,132.857872196874
"123",10510,3,"Number_4_Font_72","young",257,746,445.771604938272,132.857872196874
"124",10510,4,"Number_5_Font_72","young",298,848,451.055209953344,143.933650624772
"125",10510,4,"Number_2_Font_72","young",354,976,451.055209953344,143.933650624772
"126",10510,6,"Number_0_Font_72","young",493,686,427.721450617284,125.980970689264
"127",10510,6,"Number_9_Font_72","young",504,721,427.721450617284,125.980970689264
"128",10007,1,"Number_7_Font_72","young",71,1197,456.925754060325,130.025940709028
"129",10007,3,"Number_8_Font_72","young",232,1122,445.771604938272,132.857872196874
"130",10007,3,"Number_5_Font_72","young",242,820,445.771604938272,132.857872196874
"131",10007,3,"Number_5_Font_72","young",268,724,445.771604938272,132.857872196874
"132",10007,3,"Number_8_Font_72","young",269,856,445.771604938272,132.857872196874
"133",10007,3,"Number_7_Font_72","young",271,827,445.771604938272,132.857872196874
"134",10007,4,"Number_4_Font_72","young",290,788,451.055209953344,143.933650624772
"135",10007,4,"Number_9_Font_72","young",296,785,451.055209953344,143.933650624772
"136",10007,4,"Number_4_Font_72","young",311,802,451.055209953344,143.933650624772
"137",10007,4,"Number_7_Font_72","young",316,828,451.055209953344,143.933650624772
"138",10007,4,"Number_4_Font_72","young",318,1679,451.055209953344,143.933650624772
"139",10007,4,"Number_5_Font_72","young",321,950,451.055209953344,143.933650624772
"140",10007,4,"Number_1_Font_72","young",337,1322,451.055209953344,143.933650624772
"141",10007,5,"Number_2_Font_72","young",383,745,439.221792890263,140.037165946884
"142",10007,6,"Number_0_Font_72","young",473,834,427.721450617284,125.980970689264
"143",10007,6,"Number_9_Font_72","young",522,958,427.721450617284,125.980970689264
"144",10007,6,"Number_7_Font_72","young",534,1033,427.721450617284,125.980970689264
"145",10007,7,"Number_7_Font_72","young",556,795,440.899536321484,143.818575397368
"146",10007,7,"Number_9_Font_72","young",585,109,440.899536321484,143.818575397368
"147",10007,7,"Number_2_Font_72","young",596,2790,440.899536321484,143.818575397368
"148",10007,7,"Number_2_Font_72","young",601,814,440.899536321484,143.818575397368
"149",10007,7,"Number_2_Font_72","young",623,733,440.899536321484,143.818575397368
"150",10007,8,"Number_0_Font_72","young",642,720,442.892664092664,133.75364352549
"151",10007,8,"Number_2_Font_72","young",653,816,442.892664092664,133.75364352549
"152",10007,8,"Number_2_Font_72","young",654,732,442.892664092664,133.75364352549
"153",10007,8,"Number_4_Font_72","young",665,765,442.892664092664,133.75364352549
"154",10007,8,"Number_7_Font_72","young",668,773,442.892664092664,133.75364352549
"155",10007,8,"Number_1_Font_72","young",672,919,442.892664092664,133.75364352549
"156",10007,8,"Number_5_Font_72","young",678,991,442.892664092664,133.75364352549
"157",10007,8,"Number_4_Font_72","young",679,711,442.892664092664,133.75364352549
"158",10007,8,"Number_9_Font_72","young",690,831,442.892664092664,133.75364352549
"159",10007,8,"Number_0_Font_72","young",691,742,442.892664092664,133.75364352549
"160",10007,8,"Number_0_Font_72","young",696,29,442.892664092664,133.75364352549
"161",10506,1,"Number_9_Font_72","young",12,762,456.925754060325,130.025940709028
"162",10506,1,"Number_0_Font_72","young",45,1469,456.925754060325,130.025940709028
"163",10506,2,"Number_8_Font_72","young",118,787,453.476780185759,124.292090899271
"164",10506,2,"Number_9_Font_72","young",156,740,453.476780185759,124.292090899271
"165",10506,3,"Number_9_Font_72","young",200,726,445.771604938272,132.857872196874
"166",10506,3,"Number_1_Font_72","young",224,819,445.771604938272,132.857872196874
"167",10506,4,"Number_2_Font_72","young",312,749,451.055209953344,143.933650624772
"168",10506,4,"Number_1_Font_72","young",322,761,451.055209953344,143.933650624772
"169",10506,4,"Number_4_Font_72","young",328,743,451.055209953344,143.933650624772
"170",10506,5,"Number_0_Font_72","young",364,1552,439.221792890263,140.037165946884
"171",10506,6,"Number_7_Font_72","young",452,770,427.721450617284,125.980970689264
"172",10506,7,"Number_9_Font_72","young",555,1040,440.899536321484,143.818575397368
"173",10506,7,"Number_0_Font_72","young",604,749,440.899536321484,143.818575397368
"174",10501,1,"Number_8_Font_72","young",26,742,456.925754060325,130.025940709028
"175",10501,1,"Number_7_Font_72","young",34,850,456.925754060325,130.025940709028
"176",10501,1,"Number_8_Font_72","young",65,774,456.925754060325,130.025940709028
"177",10501,2,"Number_5_Font_72","young",138,815,453.476780185759,124.292090899271
"178",10501,2,"Number_8_Font_72","young",167,742,453.476780185759,124.292090899271
"179",10501,2,"Number_1_Font_72","young",169,778,453.476780185759,124.292090899271
"180",10501,2,"Number_4_Font_72","young",175,719,453.476780185759,124.292090899271
"181",10501,2,"Number_5_Font_72","young",181,838,453.476780185759,124.292090899271
"182",10501,3,"Number_5_Font_72","young",208,809,445.771604938272,132.857872196874
"183",10501,3,"Number_2_Font_72","young",218,813,445.771604938272,132.857872196874
"184",10501,3,"Number_7_Font_72","young",222,1019,445.771604938272,132.857872196874
"185",10501,3,"Number_7_Font_72","young",258,821,445.771604938272,132.857872196874
"186",10501,4,"Number_5_Font_72","young",321,864,451.055209953344,143.933650624772
"187",10501,4,"Number_9_Font_72","young",359,824,451.055209953344,143.933650624772
"188",10501,5,"Number_9_Font_72","young",389,759,439.221792890263,140.037165946884
"189",10501,6,"Number_9_Font_72","young",466,862,427.721450617284,125.980970689264
"190",10501,6,"Number_7_Font_72","young",484,859,427.721450617284,125.980970689264
"191",10501,6,"Number_2_Font_72","young",486,830,427.721450617284,125.980970689264
"192",10501,6,"Number_1_Font_72","young",497,1089,427.721450617284,125.980970689264
"193",10501,6,"Number_5_Font_72","young",520,685,427.721450617284,125.980970689264
"194",10501,7,"Number_8_Font_72","young",616,931,440.899536321484,143.818575397368
"195",10504,1,"Number_9_Font_72","young",2,834,456.925754060325,130.025940709028
